,Unnamed: 0,BaseDateTime_x,fenzhong,index,MMSI,BaseDateTime_y,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
86,86,2019-02-02 01:26:01.000000,2019-02-02 01:26,,304604000,,33.51253888669546,-77.49668700709817,12.02452027485912,211.1695128271225,209.7282322787341,,,,,,,,,,
87,87,2019-02-02 01:27:01.000000,2019-02-02 01:27,,304604000,,33.50994956901256,-77.49916999865518,12.031682366758,211.2994708855587,209.8010128467103,,,,,,,,,,
88,88,2019-02-02 01:28:01.000000,2019-02-02 01:28,,304604000,,33.50737897029366,-77.50165405898068,12.03876493137803,211.4389791991239,209.8855317055603,,,,,,,,,,
89,89,2019-02-02 01:29:01.000000,2019-02-02 01:29,,304604000,,33.50482684320227,-77.50413941254908,12.04576826496501,211.5878381623685,209.9815699803233,,,,,,,,,,
90,90,2019-02-02 01:30:01.000000,2019-02-02 01:30,,304604000,,33.50229294040192,-77.50662628383476,12.05269266376474,211.7458481698432,210.0889087960388,,,,,,,,,,
91,91,2019-02-02 01:31:01.000000,2019-02-02 01:31,,304604000,,33.49977701455615,-77.50911489731222,12.05953842402303,211.9128096160989,210.207329277746,,,,,,,,,,
92,92,2019-02-02 01:32:01.000000,2019-02-02 01:32,,304604000,,33.49727881832847,-77.51160547745584,12.0663058419857,212.0885228956859,210.3366125504843,,,,,,,,,,
93,93,2019-02-02 01:33:01.000000,2019-02-02 01:33,,304604000,,33.49479810438243,-77.51409824874003,12.07299521389853,212.272788403155,210.4765397392928,,,,,,,,,,
94,94,2019-02-02 01:34:01.000000,2019-02-02 01:34,,304604000,,33.49233462538152,-77.51659343563924,12.07960683600735,212.4654065330568,210.626891969211,,,,,,,,,,
95,95,2019-02-02 01:35:01.000001,2019-02-02 01:35,,304604000,,33.48988813398929,-77.5190912626279,12.08614100455796,212.666177679942,210.7874503652783,,,,,,,,,,
96,96,2019-02-02 01:36:01.000000,2019-02-02 01:36,,304604000,,33.48745838286927,-77.5215919541804,12.09259801579617,212.8749022383612,210.9579960525338,,,,,,,,,,
97,97,2019-02-02 01:37:01.000000,2019-02-02 01:37,,304604000,,33.48504512468497,-77.5240957347712,12.09897816596779,213.0913806028651,211.1383101560169,,,,,,,,,,
